section,ministry,demand_no,major_head,major_head_name,sub_major,sub_major_head_name,minor_head,minor_head_name,sub_head,detailed_head,unique_state_code,sub_head_name,detailed_head_name,unique_state_code_name,object_head,object_head_name,actuals_2024_25,be_2025_26,re_2025_26,be_2026_27,full_code,financial_year,source_pdf,source_page,charged,major_head_name_hi,sub_major_head_name_hi,minor_head_name_hi,object_head_name_hi,recovery_flag,gap_flag,gap_reason
Revenue,Agriculture & Allied Dept (Cooperation),018,2013,Council of Ministers,00,,105,Manures and Fertilisers,03,00,0000,सहकारिता मंत्री द्वारा विवेकाधीन अनुदान,,,42,Other Expenditure,,0.10,0.08,0.10,2013.00.105.03.00.0000.42,2026-27,Uttar Pradesh/Grants/018 Agriculture & Allied Dept (Cooperation).pdf,6,false,मंत्रि परिषद्,,मंत्रियों द्वारा विवेकाधीन अनुदान,अन्य व्यय,false,,
Revenue,Agriculture & Allied Dept (Cooperation),018,2049,Interest Payments,01,आन्तरिक ऋण पर ब्याज,200,अन्य आन्तरिक ऋणों पर ब्याज,03,00,0000,राष्ट्रीय सहकारी विकास निगम से प्राप्त ऋणों पर ब्याज,,,32,ब्याज/लाभांश,1013.42,700.00,700.00,700.00,2049.01.200.03.00.0000.32,2026-27,Uttar Pradesh/Grants/018 Agriculture & Allied Dept (Cooperation).pdf,6,true,ब्याज अदायगियां,आन्तरिक ऋण पर ब्याज,अन्य आन्तरिक ऋणों पर ब्याज,ब्याज/लाभांश,false,,
Revenue,Agriculture & Allied Dept (Cooperation),018,2425,Co-operation,00,,001,Direction and Administration,03,00,0000,सामान्य अधिष्ठान एवं अधीक्षण,,,01,Salaries,8734.01,17477.00,13981.60,17477.00,2425.00.001.03.00.0000.01,2026-27,Uttar Pradesh/Grants/018 Agriculture & Allied Dept (Cooperation).pdf,6,false,सहकारिता,,निदेशन तथा प्रशासन,वेतन,false,,
Revenue,Agriculture & Allied Dept (Cooperation),018,2425,Co-operation,00,,001,Direction and Administration,03,00,0000,सामान्य अधिष्ठान एवं अधीक्षण,,,02,Wages,4.99,5.00,5.00,5.00,2425.00.001.03.00.0000.02,2026-27,Uttar Pradesh/Grants/018 Agriculture & Allied Dept (Cooperation).pdf,6,false,सहकारिता,,निदेशन तथा प्रशासन,मजदूरी,false,,
Revenue,Agriculture & Allied Dept (Cooperation),018,2425,Co-operation,00,,001,Direction and Administration,03,00,0000,सामान्य अधिष्ठान एवं अधीक्षण,,,03,Dearness Allowance,4549.82,10486.20,8388.96,11360.05,2425.00.001.03.00.0000.03,2026-27,Uttar Pradesh/Grants/018 Agriculture & Allied Dept (Cooperation).pdf,6,false,सहकारिता,,निदेशन तथा प्रशासन,मंहगाई भत्ता,false,,
Revenue,Agriculture & Allied Dept (Cooperation),018,2425,Co-operation,00,,001,Direction and Administration,03,00,0000,सामान्य अधिष्ठान एवं अधीक्षण,,,04,Travel Expenses,11.41,15.00,15.00,15.00,2425.00.001.03.00.0000.04,2026-27,Uttar Pradesh/Grants/018 Agriculture & Allied Dept (Cooperation).pdf,6,false,सहकारिता,,निदेशन तथा प्रशासन,यात्रा व्यय,false,,
Revenue,Agriculture & Allied Dept (Cooperation),018,2425,Co-operation,00,,001,Direction and Administration,03,00,0000,सामान्य अधिष्ठान एवं अधीक्षण,,,05,Transfer Travel Expenses,11.07,12.00,12.00,12.00,2425.00.001.03.00.0000.05,2026-27,Uttar Pradesh/Grants/018 Agriculture & Allied Dept (Cooperation).pdf,6,false,सहकारिता,,निदेशन तथा प्रशासन,स्थानान्तरण यात्रा व्यय,false,,
Revenue,Agriculture & Allied Dept (Cooperation),018,2425,Co-operation,00,,001,Direction and Administration,03,00,0000,सामान्य अधिष्ठान एवं अधीक्षण,,,06,Other Allowances,2.74,10.00,8.00,10.00,2425.00.001.03.00.0000.06,2026-27,Uttar Pradesh/Grants/018 Agriculture & Allied Dept (Cooperation).pdf,6,false,सहकारिता,,निदेशन तथा प्रशासन,अन्य भत्ते,false,,
Revenue,Agriculture & Allied Dept (Cooperation),018,2425,Co-operation,00,,001,Direction and Administration,03,00,0000,सामान्य अधिष्ठान एवं अधीक्षण,,,08,Office Expenses,18.47,15.00,15.00,15.00,2425.00.001.03.00.0000.08,2026-27,Uttar Pradesh/Grants/018 Agriculture & Allied Dept (Cooperation).pdf,6,false,सहकारिता,,निदेशन तथा प्रशासन,कार्यालय व्यय,false,,
Revenue,Agriculture & Allied Dept (Cooperation),018,2425,Co-operation,00,,001,Direction and Administration,03,00,0000,सामान्य अधिष्ठान एवं अधीक्षण,,,09,Electricity Charges,62.84,75.00,75.00,100.00,2425.00.001.03.00.0000.09,2026-27,Uttar Pradesh/Grants/018 Agriculture & Allied Dept (Cooperation).pdf,6,false,सहकारिता,,निदेशन तथा प्रशासन,विद्युत देय,false,,
